element_type,osmid,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
way,369433555,,surface,"POLYGON ((299935.86186506704 4632257.21932542, 299948.5133239571 4632263.420794402, 299961.30313633254 4632237.503664712, 299948.6516461625 4632231.302172082, 299935.86186506704 4632257.21932542))",9,,407.20573473261953,45.24508163695773,0.020172494615103488
way,383731446,,surface,"POLYGON ((300280.8067323874 4632305.803763677, 300217.4510275512 4632274.185379094, 300234.9555739969 4632239.380227104, 300274.05686636374 4632258.898676191, 300272.05326965055 4632263.344149981, 300281.917313845 4632267.979613281, 300301.8241307378 4632251.865004659, 300304.3260537209 4632245.02755044, 300306.7787310815 4632255.13778363, 300280.8067323874 4632305.803763677))",88,4.0,2914.1460988149706,33.11529657744285,0.14436338064975873
way,434902843,Down City Parking,surface,"POLYGON ((299424.505411763 4632853.715374346, 299475.6675381463 4632797.570189184, 299446.2334338296 4632770.950139489, 299406.0935815356 4632815.28413988, 299419.9373432915 4632827.540723655, 299408.9380604795 4632839.873735257, 299413.0985093055 4632843.279359446, 299424.505411763 4632853.715374346))",100,,2703.3592883956185,27.033592883956185,0.1339212492271469
way,486628958,110 Dorrance St,surface,"POLYGON ((299843.19868714886 4632882.801391582, 299866.2458506135 4632912.635873992, 299846.9738514562 4632928.167343714, 299823.25346851855 4632903.074584246, 299843.19868714886 4632882.801391582))",53,,957.147454195007,18.05938592820768,0.04741596254357001
way,486628959,Friendship Lot,surface,"POLYGON ((299883.2029380256 4632819.638297661, 299858.7281053143 4632786.032266586, 299841.92514377274 4632816.396152305, 299843.2978894629 4632818.513429335, 299851.49248030246 4632821.728291326, 299865.29432451644 4632836.0759940045, 299883.2029380256 4632819.638297661))",60,,996.8335650416955,16.613892750694923,0.04938196593955581
way,486628960,,surface,"POLYGON ((299735.8440757039 4632659.46673687, 299744.75699139695 4632653.026872965, 299739.2479629512 4632646.291869566, 299747.51397845347 4632639.9035115205, 299788.82391972723 4632694.294615529, 299761.62111168785 4632710.404516857, 299740.62743854895 4632683.579676632, 299749.64716615574 4632677.392402921, 299735.8440757039 4632659.46673687))",59,2.0,1683.1406728861,28.527808015018643,0.08338081530838684
way,486628962,,surface,"POLYGON ((300089.8066348451 4632195.519057699, 300076.9960149549 4632189.8663057815, 300088.15048059623 4632168.162409814, 300090.95122039714 4632163.094472946, 300091.9485387333 4632161.899726448, 300094.1334548731 4632160.960619583, 300097.34410244453 4632160.137228997, 300100.59986905253 4632160.923866437, 300103.4523292453 4632162.744143443, 300104.84274311946 4632165.194346606, 300105.6829755367 4632174.116243435, 300108.12675583665 4632193.094331819, 300093.8216517009 4632186.616666371, 300089.8066348451 4632195.519057699))",25,1.0,657.124630158443,26.28498520633772,0.032553183643219435
way,486635210,,surface,"POLYGON ((299959.38110748644 4632267.972113673, 299970.1864303908 4632245.988870296, 299977.27850855584 4632249.59042374, 299975.5525294476 4632252.961420109, 299993.3874492884 4632261.995728708, 299997.88749367074 4632253.201908753, 299998.9810089811 4632253.660192185, 300022.9757909548 4632264.477637423, 300025.41333042557 4632266.620660775, 300011.3080408531 4632293.952480764, 299959.38110748644 4632267.972113673))",48,2.0,1550.5947352039918,32.304056983416494,0.0768146449770632
way,486635211,Lot 85,surface,"POLYGON ((300086.5010005656 4632302.401424996, 300074.8730008493 4632324.99649093, 300035.68223482696 4632306.44840092, 300031.5625946434 4632304.496992006, 300035.40529706865 4632296.866197483, 300039.5028230139 4632298.918239965, 300042.5738579135 4632292.820363261, 300046.1244636535 4632287.520247079, 300048.2966283275 4632283.458907819, 300050.3894681437 4632279.533141297, 300061.675558046 4632285.072996989, 300059.75247660384 4632288.827316222, 300086.5010005656 4632302.401424996))",39,,1213.8033692857032,31.12316331501803,0.060130395626152
way,486635213,,surface,"POLYGON ((300042.90228752303 4632323.5146067105, 300069.3489000797 4632336.997098295, 300058.4155450907 4632358.272582801, 300031.96898438985 4632344.790133334, 300042.90228752303 4632323.5146067105))",33,1.0,710.0727878023706,21.51735720613244,0.03517617328665635
way,486635215,,surface,"POLYGON ((299979.1110496443 4632359.40699945, 299950.83188125107 4632345.498399327, 299963.0420554939 4632320.853214151, 299938.16886751854 4632309.538330736, 299946.2536245721 4632292.220754755, 299958.0532159134 4632297.69048724, 299961.61595240235 4632299.346326825, 299957.03229370667 4632309.009284651, 299956.7430247478 4632309.661914508, 299954.13633353746 4632308.601557663, 299952.9177917474 4632311.391599453, 299963.8896372138 4632316.395609821, 299963.5014175812 4632317.373273024, 299967.2084626262 4632319.136191447, 299969.5564590404 4632314.825421606, 299980.120535981 4632292.837841755, 300005.8844245555 4632305.383593854, 299979.1110496443 4632359.40699945))",90,4.0,2168.0674277959392,24.089638086621548,0.10740351812852651
way,486635216,,surface,"POLYGON ((299969.5564590404 4632314.825421606, 299957.03229370667 4632309.009284651, 299961.61595240235 4632299.346326825, 299967.6169029377 4632286.86553572, 299980.120535981 4632292.837841755, 299969.5564590404 4632314.825421606))",8,1.0,338.84464265809487,42.35558033226186,0.016785966272958617
