,osmid,name,geometry,highway,nodes,oneway,parking:lane:left,parking:lane:both,parking:lane:right,parking:lane:left:capacity,parking:lane:both:capacity,parking:lane:right:capacity,capacity,surface,lanes,cycleway
36,19400078,Claverick Street,"LINESTRING (-71.413719 41.8186668, -71.4137727 41.8186958, -71.4143569 41.819015, -71.4147099 41.8192077, -71.4148611 41.8193446, -71.4148787 41.8193586, -71.4149542 41.8194196)",residential,"[201760865, 9904648048, 9023649465, 6688133319, 7869917709, 201760857, 201179853]",yes,,parallel,,0,31,0,31,asphalt,2,
37,19400742,Fulton Street,"LINESTRING (-71.4123021 41.8241342, -71.4123876 41.824072, -71.4128968 41.8237015, -71.4129394 41.8236705)",unclassified,"[201315106, 1359940943, 9849168808, 201680185]",,,parallel,,14,0,0,14,asphalt,,
38,19402150,Page Street,"LINESTRING (-71.4124233 41.821649, -71.4122714 41.8215817, -71.411854 41.8213968, -71.4113461 41.8211783, -71.4113018 41.8211593)",unclassified,"[201718102, 7869917735, 201776688, 9906940256, 201583986]",yes,,parallel,,0,21,0,21,asphalt,,
39,19403034,Washington Street,"LINESTRING (-71.4134235 41.8240345, -71.4134671 41.8240029, -71.4139559 41.8236516, -71.4139954 41.8236234)",secondary,"[201680181, 5689667906, 9888236428, 201545073]",,,parallel,,0,12,0,12,asphalt,,
40,42887038,Fountain Street,"LINESTRING (-71.4148455 41.8245362, -71.4146802 41.8247159, -71.4146209 41.8247907, -71.4146147 41.8248034, -71.4145753 41.8248861)",secondary,"[9580612989, 201452755, 3875013270, 5689649262, 201252063]",yes,,,parallel,0,0,4,4,asphalt,3,
41,43075164,Fountain Street,"LINESTRING (-71.4171146 41.8223653, -71.417028 41.8224299, -71.416794 41.8226245)",secondary,"[201452794, 5689660017, 201452790]",yes,,parallel,,0,5,0,5,asphalt,2,
42,43077574,Dyer Street,"LINESTRING (-71.4083009 41.8230497, -71.4082602 41.8232867, -71.4082378 41.8239947, -71.4082329 41.8241462)",primary,"[201569766, 539664729, 1359956941, 201154519]",yes,,,parallel,0,0,6,6,asphalt,2,
43,43671541,Smith Street,"LINESTRING (-71.4128255 41.8315542, -71.4129729 41.831574, -71.413453 41.8316165, -71.4137559 41.8316468, -71.4139702 41.8316632, -71.4145814 41.8317112, -71.4148301 41.8317293, -71.4150927 41.8317442, -71.4161123 41.831822, -71.4162762 41.8318384, -71.4164162 41.8318524, -71.4166411 41.8318822, -71.4168626 41.8319097)",primary,"[201284069, 1593531191, 2460675397, 5966371698, 201378447, 1359932338, 1593530942, 1359932451, 1593531230, 201252099, 201378466, 201378470, 201378474]",,,parallel,,0,45,0,45,asphalt,4,
44,43671556,Gaspee Street,"LINESTRING (-71.4151823 41.8291963, -71.4149674 41.8291856, -71.414647 41.8291655, -71.414448 41.8291553, -71.414426 41.8291554, -71.4143984 41.8291576, -71.4143764 41.8291601, -71.4143443 41.829164, -71.4143172 41.8291685, -71.4142879 41.8291744, -71.4142617 41.8291799, -71.4142365 41.8291859, -71.4142085 41.8291939, -71.4141844 41.8292019, -71.4141584 41.8292102, -71.4141275 41.829222, -71.4140982 41.8292345, -71.4140735 41.8292454, -71.4140519 41.8292553, -71.4140286 41.8292679, -71.4140009 41.8292833, -71.4139745 41.8292995, -71.4139553 41.8293125, -71.4139368 41.8293267, -71.4139159 41.829343, -71.413895 41.8293594, -71.4138583 41.8293876, -71.413794 41.8294378, -71.4136268 41.8295736, -71.4134238 41.8297349, -71.4133311 41.8298158, -71.4131208 41.8300085, -71.4129922 41.8301495, -71.41288 41.830307, -71.412796 41.830479, -71.41275 41.83062, -71.412712 41.830799, -71.412704 41.830956, -71.41272 41.831142, -71.412758 41.831367, -71.412785 41.8314418, -71.4128255 41.8315542)",secondary,"[201251899, 1359932583, 201283999, 201284002, 7824671830, 7824671831, 7824671832, 7824671833, 201284006, 7824671834, 7824671835, 7824671836, 7824671837, 201284010, 7824671838, 7824671839, 7824671840, 7824671841, 7824671842, 201284013, 7824671843, 7824671844, 7824671845, 7824671846, 7824671847, 5404609940, 7824671848, 201284015, 201284023, 1359932730, 201284033, 201284036, 201284039, 201284044, 201284049, 201284052, 201284055, 201284058, 201284062, 201284066, 1593530805, 201284069]",,,parallel,,0,34,0,34,asphalt,2,
45,47795373,Fountain Street,"LINESTRING (-71.4157327 41.8237176, -71.4156978 41.8237551, -71.415642 41.823811, -71.4153341 41.8240973, -71.415085 41.824295, -71.4150089 41.8243635, -71.414994 41.824377)",secondary,"[201452780, 201452777, 201452773, 201305058, 201452769, 9888577741, 201452765]",yes,parallel,,,9,0,0,9,asphalt,2,
46,47795375,Broad Street,"LINESTRING (-71.4162911 41.817964, -71.4162152 41.818048, -71.4159582 41.8183393, -71.4159258 41.8183745, -71.4158898 41.8184136, -71.4154586 41.8188526, -71.4154388 41.8188728, -71.4154173 41.8188971, -71.4153472 41.8189761, -71.4152586 41.8190761, -71.4150264 41.8193381, -71.4149542 41.8194196)",secondary,"[201381720, 5740720935, 7869917695, 201381716, 7869917698, 9906945675, 201214557, 7869917704, 6877352425, 6877352429, 7869917711, 201179853]",,,parallel,,0,32,0,32,asphalt,,
47,47795515,Exchange Terrace,"LINESTRING (-71.4127823 41.8257118, -71.4131473 41.8255848, -71.4132029 41.8255654, -71.4134305 41.8254909, -71.4136743 41.8254004, -71.4141473 41.8252471, -71.4146726 41.8250655, -71.414795 41.825027)",secondary,"[1359932422, 8994212214, 201260826, 201260822, 201260818, 201260814, 5689665165, 201252025]",no,,parallel,,0,23,0,23,asphalt,,shared_lane
48,48486397,Pine Street,"LINESTRING (-71.4100873 41.8224434, -71.4101498 41.8223776, -71.410347 41.82217, -71.4108039 41.8216937, -71.4109635 41.8215273, -71.4112632 41.8212013, -71.4113018 41.8211593)",unclassified,"[201411328, 5152270272, 201583981, 6862343501, 2910197362, 9906940255, 201583986]",yes,,,parallel,0,0,23,23,asphalt,,
49,49074850,Point Street,"LINESTRING (-71.4064653 41.8168807, -71.4063402 41.8168727, -71.4054704 41.817201, -71.4050575 41.8173327, -71.404724 41.8174798, -71.4046769 41.8175006, -71.4046378 41.8175368, -71.4045244 41.8176463)",primary,"[201302714, 201302519, 3870442667, 4492742816, 7984385891, 4492742815, 8996347537, 201302501]",yes,,,parallel,0,0,12,12,asphalt,2,
50,49075843,Claverick Street,"LINESTRING (-71.4123335 41.8178927, -71.4122911 41.8178717, -71.4119526 41.8177043, -71.4115942 41.817524, -71.4115465 41.8175)",unclassified,"[201360701, 9904647941, 7150287905, 6423429717, 201724711]",,parallel,,,10,0,0,10,asphalt,,
