,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
760588370,,surface,"POLYGON ((299753.5759184188 4632365.512813135, 299755.4841502731 4632360.347543079, 299755.3039617063 4632358.074561859, 299769.7233868074 4632331.311190005, 299790.29074359 4632340.846138819, 299782.2233742788 4632354.029624159, 299768.3282354085 4632346.463200537, 299766.3754167593 4632350.040646403, 299770.5425669593 4632352.201707286, 299767.6632903568 4632355.349551954, 299769.8674679922 4632356.876748591, 299765.27576641 4632359.728180865, 299763.746460438 4632357.959792619, 299753.5759184188 4632365.512813135))",15,,482.914067956534,32.19427119710227,0.08595363071965482
760588371,,surface,"POLYGON ((299781.3891727356 4632356.88669852, 299792.7817219422 4632344.298847402, 299798.3733020304 4632348.34238575, 299803.2739049105 4632352.349759621, 299805.7227317059 4632356.670421148, 299790.8532583353 4632365.033125327, 299781.3891727356 4632356.88669852))",8,,266.1656747631793,33.270709345397414,0.04737469383662944
760588372,,surface,"POLYGON ((299759.1684611663 4632325.173415076, 299772.0917172323 4632298.707640829, 299772.2727868024 4632298.34696174, 299754.8032241579 4632289.602969977, 299745.5962619676 4632284.994216497, 299741.81012483 4632292.556923288, 299752.7785357577 4632297.727402912, 299742.6929239075 4632318.079521589, 299759.1684611663 4632325.173415076))",17,,642.0508351640694,37.76769618612173,0.11427830343079923
760588373,,surface,"POLYGON ((299776.4042453893 4632288.574327337, 299782.9279849913 4632276.367609107, 299758.6950445969 4632264.779767371, 299753.0088168676 4632277.207470314, 299776.4042453893 4632288.574327337))",11,,363.39335539791773,33.03575958162889,0.06468019953947643
760588374,,surface,"POLYGON ((299776.7503123814 4632258.850095299, 299782.880097289 4632262.222887806, 299784.011484451 4632260.179789684, 299788.9235474188 4632262.519978156, 299794.3775851694 4632250.10993805, 299798.1999560036 4632251.53616512, 299801.5681764972 4632245.074236571, 299798.3255781411 4632243.276139118, 299816.2885149429 4632208.579211457, 299796.7483400841 4632199.815430596, 299797.870081868 4632197.428122653, 299788.869869979 4632193.080203005, 299787.4257536244 4632196.421113267, 299782.1664462598 4632194.446266016, 299766.8107043519 4632225.180765493, 299771.5150450185 4632228.115731037, 299769.3731210016 4632232.065190095, 299764.1072876047 4632229.85718043, 299762.3356309091 4632234.262968275, 299783.9274488933 4632244.747047006, 299783.2510212373 4632245.821709817, 299778.3306388905 4632243.481757993, 299772.3952624641 4632255.327478851, 299777.8919836814 4632257.17341617, 299776.7503123814 4632258.850095299))",60,3.0,1961.7844762725736,32.696407937876224,0.34917702675056783
760588375,,surface,"POLYGON ((299675.8479150755 4632281.007556511, 299686.3351308109 4632278.512787728, 299717.94289748 4632225.308099562, 299647.8131891638 4632190.895529638, 299631.9046742052 4632221.168047376, 299675.8479150755 4632281.007556511))",147,,4058.0642164335154,27.605879023357247,0.7222927974990511
760588376,178 Clifford Street,surface,"POLYGON ((299645.4181306934 4632311.021143761, 299619.7788671266 4632329.865684724, 299617.9893423307 4632325.937716854, 299616.9816519928 4632322.321157614, 299611.6375759309 4632303.124596287, 299610.5567003486 4632282.108072468, 299611.4174767092 4632280.494817217, 299619.8841266636 4632274.13403613, 299639.1702698421 4632259.646220948, 299644.1117625864 4632255.929229455, 299651.1680019624 4632265.943329106, 299629.3930459222 4632282.090096253, 299636.3532041869 4632291.051202473, 299632.0107268071 4632294.784712054, 299645.4181306934 4632311.021143761))",50,1.0,1447.3846179561556,28.94769235912311,0.25761925612883524
760588377,170 Clifford Street,surface,"POLYGON ((299641.7381901375 4632362.608256385, 299668.3863706928 4632343.57987966, 299654.404887373 4632323.770230797, 299627.1049550644 4632343.272573627, 299641.7381901375 4632362.608256385))",36,,803.5906144768799,22.321961513246663,0.1430306870512275
760588378,Lifespan Parking Lot,surface,"POLYGON ((299672.0378312019 4632423.275454872, 299655.6921069872 4632402.154274983, 299632.4809751709 4632419.241506271, 299641.0462711452 4632428.235307171, 299640.8644933978 4632431.529684223, 299646.642761601 4632437.779229405, 299648.9246534895 4632440.593244592, 299672.0378312019 4632423.275454872))",30,,769.5164844706915,25.650549482356382,0.13696584988456822
760588379,,surface,"POLYGON ((299540.7116008534 4632461.624672787, 299573.3084621263 4632437.772617802, 299548.7758661383 4632404.869201858, 299542.6291965401 4632392.318233273, 299538.9079964801 4632381.47708876, 299524.5960434733 4632363.821657341, 299510.6704323428 4632349.266867069, 299498.3898196687 4632340.299854566, 299487.2426530377 4632334.690285671, 299485.5523315105 4632338.138201234, 299479.8046119286 4632339.488806853, 299474.7335162726 4632333.563987813, 299470.7093321666 4632338.266547193, 299465.2979083629 4632341.2301232, 299459.1929376494 4632346.135650815, 299454.5498088149 4632350.111090073, 299452.8222336208 4632351.937649002, 299461.4276780455 4632362.052478368, 299464.7891157174 4632362.4580321, 299488.4963862994 4632345.578545991, 299495.9072543767 4632355.782556777, 299499.8203219606 4632352.449962161, 299502.2789134295 4632355.336755473, 299503.045770633 4632355.115176534, 299508.4580550682 4632361.941641148, 299506.4452511675 4632363.676192002, 299513.1287092359 4632372.844985382, 299510.9314909971 4632374.22912135, 299517.579070079 4632384.487943019, 299521.7573028316 4632381.125682062, 299530.1286005818 4632391.491640386, 299536.8400311583 4632408.460579416, 299517.3168932917 4632421.888582533, 299516.0379568965 4632429.325397833, 299540.7116008534 4632461.624672787))",87,7.0,3445.8992706173335,39.60803759330268,0.6133338683983613
