,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
760606399,,surface,"POLYGON ((299820.4552927489 4632398.817372922, 299828.5078164201 4632393.990859129, 299830.1196037146 4632392.478792341, 299829.4206223415 4632390.675977403, 299831.6392841258 4632389.758061113, 299820.7854644342 4632374.149728545, 299809.2127952294 4632380.31963282, 299809.5992531512 4632381.353350554, 299820.4552927489 4632398.817372922))",9,,288.607249129326,32.06747212548067,0.05136905830813427
760606400,,surface,"POLYGON ((299815.9284923239 4632401.611389956, 299805.0724448495 4632384.147374163, 299800.5276047698 4632375.340577017, 299788.5435098725 4632382.844437593, 299793.9348690603 4632392.194199075, 299787.8490303276 4632396.009884169, 299790.0672467094 4632399.814731241, 299796.3192320674 4632410.507160421, 299797.3236764997 4632412.234724503, 299815.9284923239 4632401.611389956))",27,,556.3846093542937,20.606837383492362,0.09903061522499038
760791299,,surface,"POLYGON ((299611.4174767092 4632280.494817217, 299610.4132099822 4632277.000398826, 299611.8254706257 4632266.315043767, 299616.342430832 4632253.108855661, 299620.0985201193 4632244.480129621, 299623.7145985663 4632239.744679091, 299626.2931501541 4632238.616567824, 299629.5597155354 4632238.60259585, 299631.5572369299 4632240.168895845, 299633.0639463579 4632241.42672348, 299636.3738781253 4632246.212092474, 299631.4455635902 4632249.806482516, 299619.910604043 4632258.209222572, 299617.8584575944 4632272.157371635, 299619.8841266636 4632274.13403613, 299611.4174767092 4632280.494817217))",13,,360.0500788202858,27.696159909252756,0.06408513143230067
760791300,,surface,"POLYGON ((299631.4455635902 4632249.806482516, 299639.1702698421 4632259.646220948, 299644.1117625864 4632255.929229455, 299636.3738781253 4632246.212092474, 299631.4455635902 4632249.806482516))",4,,76.51887288080329,19.12971822020082,0.01361955548429532
760791301,,surface,"POLYGON ((300130.2272878002 4631984.396356777, 300177.1746006174 4631985.103603117, 300177.0321601007 4631987.141151291, 300185.9046177776 4631987.225999382, 300186.0793327005 4631959.629167742, 300189.937335371 4631959.654455641, 300190.1114269682 4631944.203429351, 300141.9337802512 4631945.286300002, 300128.9467057691 4631982.009744639, 300128.7804172034 4631983.49234555, 300129.3513625325 4631984.287550076, 300130.2272878002 4631984.396356777))",58,2.0,2117.72602226254,36.512517625216205,0.37693298365319444
760791302,,surface,"POLYGON ((300234.9555739969 4632239.380227104, 300274.0568663637 4632258.898676191, 300280.4605703349 4632241.484143445, 300284.1512715211 4632241.180786818, 300296.3951843599 4632240.26014632, 300303.6016732813 4632226.279099693, 300315.0257727986 4632230.81537418, 300318.0670535066 4632228.39664776, 300320.5787170046 4632227.54847475, 300323.5051071109 4632227.855488046, 300325.6807683056 4632228.961380364, 300353.311827964 4632172.504100748, 300348.9743820509 4632170.491932036, 300340.1288509078 4632188.585911226, 300336.3893266756 4632187.145968053, 300332.2443874185 4632193.496005172, 300337.1960131095 4632194.87979391, 300330.9286281902 4632207.667718123, 300326.8429035957 4632206.926435546, 300324.529597762 4632208.624702739, 300312.7097894499 4632203.910579251, 300308.6925164454 4632213.335174184, 300267.2552334572 4632194.115294751, 300267.7934616501 4632192.555609569, 300256.1729367842 4632187.83599568, 300253.3778740594 4632185.391762629, 300251.1207241992 4632181.37674047, 300250.9960416736 4632176.924184803, 300251.9187595153 4632175.142597298, 300245.8015878875 4632172.213552742, 300243.5988445788 4632170.14166802, 300241.6333879542 4632169.418844183, 300238.6128943525 4632173.470534453, 300229.4349418778 4632192.151819345, 300228.7115424675 4632194.816815384, 300223.3166914931 4632196.901451326, 300216.6150607411 4632194.177710514, 300205.7928426964 4632217.961199466, 300217.771101997 4632221.503915686, 300226.5466808721 4632228.825642726, 300227.2422484951 4632232.884391329, 300208.9627110804 4632268.511358624, 300217.4510275512 4632274.185379094, 300234.9555739969 4632239.380227104))",95,4.0,5662.13816384883,59.60145435630348,1.0078011081319997
760791303,Lot 98,surface,"POLYGON ((300187.3636797753 4632338.457398525, 300188.0429605553 4632329.470706653, 300188.7051158334 4632317.795307148, 300190.5451664454 4632306.92033861, 300189.7770431474 4632307.097428213, 300189.3451200779 4632307.109527333, 300188.8408375737 4632306.912518868, 300188.4494206005 4632306.590113007, 300188.2213285154 4632306.16312093, 300188.2088869444 4632305.718975624, 300188.3514641109 4632305.170476768, 300193.1904338014 4632295.411636689, 300186.7825234357 4632292.19075767, 300185.943431542 4632293.692204709, 300185.5691210785 4632293.980498768, 300185.127335763 4632293.937312632, 300178.0482971132 4632290.201848656, 300163.0829112543 4632320.379967818, 300167.1431143241 4632322.288665497, 300167.4464870547 4632325.402736149, 300168.0849068544 4632328.607431456, 300169.0726554628 4632330.335510314, 300181.1667185386 4632336.830795229, 300182.4936219606 4632337.015870882, 300186.0613270988 4632337.071500841, 300186.9557789757 4632337.54650023, 300187.3636797753 4632338.457398525))",15,2.0,851.4549335688157,56.76366223792105,0.1515500329988098
760807680,,surface,"POLYGON ((300063.7373457929 4632188.69330069, 300070.3515248642 4632174.650810153, 300057.7868337987 4632168.580039577, 300050.9739417201 4632182.650337521, 300063.7373457929 4632188.69330069))",7,,218.6738365319651,31.239119504566442,0.03892164556906315
760807681,Lot 425,surface,"POLYGON ((300070.3515248642 4632174.650810153, 300057.7868337987 4632168.580039577, 300043.619006896 4632161.665239184, 300042.8940368318 4632163.085718093, 300010.4106494198 4632146.605506428, 300011.2952061127 4632144.947190283, 299996.3042264263 4632137.733297397, 299994.9939916321 4632137.847820128, 299980.4951261576 4632131.286902411, 299981.5201651137 4632129.302384697, 299955.0723225374 4632115.809086404, 299971.7764107207 4632087.17082788, 300018.1797942613 4632109.416878713, 300024.0087560544 4632097.907752188, 300053.3000036062 4632112.010567011, 300049.2639182061 4632120.457964404, 300052.3904234378 4632121.970507616, 300044.9632027417 4632137.258162037, 300080.3389144655 4632154.313095562, 300081.4294220826 4632154.960386436, 300071.0708521981 4632174.80844674, 300070.3515248642 4632174.650810153))",110,1.0,4498.109595977571,40.89190541797792,0.8006162520491978
760807682,,surface,"POLYGON ((300092.0655253936 4632130.181796072, 300099.7086569329 4632113.399092129, 300099.8343352771 4632111.950964695, 300099.3629779211 4632110.852938551, 300095.0032011266 4632108.64152074, 300071.2726272809 4632096.882968234, 300067.3508608198 4632104.071453372, 300081.8496638616 4632111.521535245, 300083.0750432295 4632112.531754476, 300081.2039375094 4632115.473404783, 300081.5809572235 4632118.840993618, 300078.8693960232 4632123.82864728, 300092.0655253936 4632130.181796072))",15,,459.40797258396,30.627198172264,0.0817697926926022
760807683,,surface,"POLYGON ((300048.7931116355 4632259.653430947, 300051.9822321873 4632253.318890653, 300047.0975720419 4632250.766623577, 300043.6546948582 4632257.241627882, 300048.7931116355 4632259.653430947))",2,,40.32818819938453,20.164094099692264,0.007177993821448659
760807684,,surface,"POLYGON ((300042.5738579135 4632292.820363261, 300046.1244636534 4632287.520247079, 300034.9357617054 4632281.599865011, 300030.2898832368 4632286.675107907, 300042.5738579135 4632292.820363261))",4,,85.60831377056284,21.40207844264071,0.015237380471238638
760807685,,surface,"POLYGON ((300089.7231873436 4632294.576919641, 300098.7035537234 4632276.278778023, 300088.0010994519 4632270.800294325, 300072.3012180878 4632263.194972516, 300071.682894683 4632264.267976898, 300066.6766699139 4632274.876134893, 300074.2662040336 4632278.730533148, 300072.1705503135 4632282.556359496, 300081.7015329377 4632287.167551388, 300080.3463040537 4632289.828050675, 300089.7231873436 4632294.576919641))",18,,507.9207250131711,28.217818056287282,0.0904045529619381
760807686,,surface,"POLYGON ((299879.696708138 4632311.011880158, 299889.0957864152 4632292.546119201, 299887.9805677579 4632291.610629235, 299872.1657596158 4632284.064522127, 299863.7256656578 4632302.63674856, 299879.696708138 4632311.011880158))",6,,383.0143862510713,63.835731041845214,0.06817253689760598
760807687,,surface,"POLYGON ((299796.6495909272 4632309.141824516, 299790.1104614406 4632305.991647705, 299783.286029767 4632304.227420455, 299773.3570089239 4632323.941689796, 299798.9180168996 4632336.948015422, 299811.1701667698 4632344.027214302, 299818.1132330247 4632329.286248141, 299813.1488945227 4632326.858610882, 299815.3338867864 4632322.074526612, 299808.3454033898 4632318.314651885, 299804.3745084444 4632325.515799655, 299791.4318895991 4632319.900600355, 299796.6495909272 4632309.141824516))",16,,772.3855661947813,48.27409788717383,0.13747651628958818
760807688,,surface,"POLYGON ((299774.474584256 4632474.505400154, 299785.1197111923 4632474.684412411, 299785.5892488651 4632442.845352944, 299783.6445787965 4632436.643665755, 299781.395813294 4632436.784576187, 299773.9653893256 4632441.56034791, 299774.5645018867 4632448.688795906, 299772.6978191755 4632448.818983659, 299774.474584256 4632474.505400154))",30,,416.3310491603336,13.877701638677786,0.07410255287877576
760807689,,surface,"POLYGON ((299868.560364747 4632629.882928658, 299876.4777737111 4632624.693535212, 299879.2143706759 4632628.017138844, 299855.2559986946 4632644.235642306, 299835.5960515888 4632619.017742892, 299837.8666337532 4632616.398171536, 299840.7612227681 4632615.872442294, 299868.560364747 4632629.882928658))",8,,476.2400992372372,59.53001240465465,0.08476573440269641
760807690,,surface,"POLYGON ((299981.3984790394 4632513.30472002, 299986.5744483133 4632502.536146033, 299973.2437941199 4632496.109211026, 299966.9145348619 4632509.62155823, 299981.3984790394 4632513.30472002))",8,,197.92076128784527,24.74009516098066,0.03522781620232198
760807691,,surface,"POLYGON ((299800.8771301864 4632300.42218547, 299794.337995184 4632297.272004614, 299788.1468900441 4632294.378757992, 299794.4940298447 4632282.099221273, 299807.1878357463 4632287.732525356, 299805.9377745621 4632289.990085722, 299800.8771301864 4632300.42218547))",4,,194.555156375869,48.63878909396725,0.03462877388620891
760807692,Lot 79,surface,"POLYGON ((299903.0704885283 4632519.557736028, 299906.6973931767 4632517.577995149, 299913.0937313084 4632523.054756836, 299939.9187900847 4632528.114059542, 299945.0018325082 4632528.260408089, 299943.7157414469 4632533.974904177, 299929.7139740435 4632531.478431185, 299925.2211729613 4632546.150558571, 299903.0704885283 4632519.557736028))",8,,373.50453470648495,46.68806683831062,0.0664798832308346
760807694,,surface,"POLYGON ((299889.9102146126 4632606.90354747, 299897.5296280734 4632610.645782139, 299898.8021942918 4632611.265709794, 299900.1593765656 4632611.93882562, 299906.3289875002 4632614.966102293, 299921.742874662 4632582.763400801, 299908.033136234 4632577.636262219, 299899.4279786342 4632596.535362126, 299895.1390168971 4632594.766587437, 299889.9102146126 4632606.90354747))",5,,558.9141330726939,111.78282661453878,0.09948084387231058
760807695,,surface,"POLYGON ((299971.8024199884 4632585.504212461, 299966.9943465781 4632585.083438747, 299961.3463481742 4632582.574874316, 299961.8491771526 4632580.349409395, 299959.70625791 4632579.520521298, 299972.7719301663 4632552.495502456, 299975.0072628444 4632552.766184589, 299971.8024199884 4632585.504212461))",10,,255.3795202825341,25.537952028253407,0.0454548716557648
760807696,,surface,"POLYGON ((299766.3369049123 4632381.834269754, 299770.533342784 4632380.005160137, 299774.6898864034 4632376.754787396, 299772.1917984461 4632370.679761173, 299768.9474334073 4632366.448116411, 299757.7840655064 4632372.095446195, 299764.1266275514 4632381.274023612, 299766.3369049123 4632381.834269754))",4,,152.09424843542678,38.023562108856694,0.027071178356681852
760819212,,surface,"POLYGON ((299706.3333325746 4632169.183133366, 299721.870418544 4632176.592235589, 299727.2686108644 4632166.339514215, 299711.6743003878 4632158.965343256, 299706.3333325746 4632169.183133366))",10,,199.00888662466988,19.90088866246699,0.03542149108069918
760819213,,surface,"POLYGON ((299649.1397641084 4632605.684169616, 299656.4815735438 4632614.334523558, 299666.8951241952 4632607.163441169, 299659.2801289968 4632597.665095458, 299649.1397641084 4632605.684169616))",6,,150.05576091332696,25.009293485554494,0.026708348993597395
760819214,,surface,"POLYGON ((299834.9664234909 4632286.152865147, 299824.1930602355 4632281.710205651, 299835.0454072384 4632259.936545589, 299839.7375366457 4632261.54952259, 299842.6946646863 4632259.988597437, 299844.8075493535 4632256.484472141, 299842.0609589131 4632254.883573029, 299848.050335667 4632243.180862989, 299873.3886491898 4632255.949239015, 299866.213540048 4632271.018907252, 299847.7559011418 4632261.424536638, 299834.9664234909 4632286.152865147))",27,,772.7566231354099,28.620615671681847,0.13754256052678696
760867427,,surface,"POLYGON ((299710.4955517309 4632562.822817419, 299682.5272395728 4632525.348274366, 299688.29705664 4632520.941293961, 299685.9376983263 4632516.551483351, 299719.1695963911 4632491.626593577, 299775.1084628502 4632566.375961671, 299762.3592693548 4632575.334867639, 299758.8930130797 4632571.487282176, 299755.8157220581 4632573.796156109, 299752.0531403117 4632573.901792879, 299748.5862315256 4632573.287936993, 299743.0391662855 4632571.121190056, 299716.6919865497 4632559.10395973, 299710.4955517309 4632562.822817419))",131,,3793.673470867367,28.959339472269978,0.6752340224125228
760867429,,surface,"POLYGON ((299865.3859421014 4632315.591646355, 299851.9791407449 4632309.133710188, 299841.8415912866 4632332.087426923, 299865.3859421014 4632315.591646355))",6,,186.6017839764588,31.1002973294098,0.03321315715529121
760867430,222 Chestnut Street Private Parking,surface,"POLYGON ((299972.9601662147 4632240.554928511, 299979.0614828099 4632228.982552136, 299991.4099844171 4632234.459176754, 299994.0025733339 4632235.608842717, 300005.2067490448 4632241.484283606, 299998.9810089812 4632253.660192185, 299997.8874936707 4632253.201908753, 299972.9601662147 4632240.554928511))",11,,396.602261020723,36.05475100188391,0.07059103585572844
761093603,90 Elm Street Parking Lot,surface,"POLYGON ((299814.5265003466 4632277.903242515, 299824.1930602355 4632281.710205651, 299835.0454072384 4632259.936545589, 299826.1010452586 4632254.909162559, 299818.5275349143 4632269.70114319, 299814.5265003466 4632277.903242515))",9,,259.2916887074363,28.81018763415959,0.046151196535116644
761093604,16 Bassett Street Parking Lot,surface,"POLYGON ((299766.5214717268 4632385.151692697, 299766.8007278459 4632383.254747351, 299770.5213135693 4632380.761140196, 299776.6322152091 4632389.979567594, 299771.7030993029 4632392.951592467, 299766.5214717268 4632385.151692697))",4,,61.95520744311092,15.48880186077773,0.011027376038678753
761093605,174 Clifford Street,surface,"POLYGON ((299627.1049550644 4632343.272573627, 299620.7741490777 4632334.816081031, 299621.3454860308 4632334.144399276, 299619.7788671266 4632329.865684724, 299645.4181306934 4632311.021143761, 299654.404887373 4632323.770230797, 299627.1049550644 4632343.272573627))",18,,512.2690461321016,28.45939145178342,0.09117850843871388
761093606,Lifespan Parking Lot,surface,"POLYGON ((299919.7505259962 4632185.163008353, 299933.7785886119 4632191.536982153, 299933.0986006982 4632193.078448269, 299952.9447855795 4632202.978584125, 299948.6730766641 4632211.910490125, 299947.1676602458 4632211.586001744, 299918.0082216497 4632197.435484994, 299914.660144445 4632195.729192992, 299919.7505259962 4632185.163008353))",9,,415.53080962951424,46.170089958834915,0.0739601186494099
761106810,95 Lofts Parking Lot,surface,"POLYGON ((299646.642761601 4632437.779229405, 299648.9246534895 4632440.593244592, 299672.0378312019 4632423.275454872, 299681.2585160676 4632435.184566471, 299655.154452128 4632455.520010072, 299644.660251748 4632439.112843428, 299646.642761601 4632437.779229405))",15,1.0,507.16367655801423,33.81091177053428,0.09026980629028533
761106811,12 Parsonage Street Parking,surface,"POLYGON ((299881.0566206055 4632265.557449359, 299883.7556298431 4632260.4255986, 299893.4767845221 4632265.586832384, 299891.0898783309 4632270.287653341, 299881.0566206055 4632265.557449359))",4,,61.13641701850002,15.284104254625005,0.010881639945109142
761114290,,surface,"POLYGON ((299722.7371450097 4632422.996283678, 299738.8517400884 4632449.513601773, 299775.9630102701 4632425.958040218, 299776.6475213236 4632425.172070406, 299776.2043494542 4632423.006482644, 299774.0579887581 4632419.688567698, 299770.621155364 4632415.706798676, 299766.1634557238 4632409.709009671, 299761.5959177499 4632404.53662334, 299761.0684699589 4632404.106934845, 299756.8613786137 4632407.036476816, 299754.141661429 4632403.134594273, 299722.7371450097 4632422.996283678))",49,2.0,1345.791411606251,27.46513084910716,0.23953673271182976
761114291,Lifespan Parking Lot,surface,"POLYGON ((299710.5389921481 4632374.322030887, 299708.1958459696 4632371.398592667, 299723.5783741586 4632360.587690118, 299734.5975343172 4632372.601944812, 299725.6535236927 4632379.131568855, 299718.0438718966 4632368.644001116, 299710.5389921481 4632374.322030887))",2,1.0,199.04687801854197,99.52343900927099,0.035428253149680164
761114292,Lifespan Parking Lot,surface,"POLYGON ((299679.4723856926 4632351.458367432, 299702.8390662309 4632333.978010065, 299723.5783741586 4632360.587690118, 299708.1958459696 4632371.398592667, 299705.1549551198 4632367.605756651, 299696.209914194 4632373.802075846, 299689.606248375 4632365.097606011, 299694.3659997017 4632361.719121242, 299690.9559700094 4632357.214351098, 299686.2241406024 4632360.403143157, 299679.4723856926 4632351.458367432))",36,,895.6459962972104,24.87905545270029,0.1594155779040111
761850664,Lot 72,surface,"POLYGON ((300029.7334712648 4632413.304958753, 300034.5496859475 4632405.413506032, 300034.2320345861 4632402.088702547, 300032.9560369801 4632400.457620614, 300022.4007090937 4632395.7752079, 300017.0763308483 4632406.592356034, 300029.7334712648 4632413.304958753))",3,,181.76049371053597,60.58683123684532,0.03235145834936359
764441927,Lot 96,surface,"POLYGON ((299991.0196480794 4632428.05863863, 299992.8777585421 4632424.361679005, 300018.6077328413 4632437.197321184, 300016.8053648912 4632441.103845632, 299991.0196480794 4632428.05863863))",5,,121.60875664651782,24.321751329303563,0.021645081091346434
764441928,Lot 97,surface,"POLYGON ((300022.7294190607 4632429.736488544, 300023.1446644026 4632426.757845222, 300009.8747571327 4632420.12911027, 300010.4842390843 4632418.445166619, 299998.5375538402 4632413.05727254, 299996.7584504763 4632416.60755411, 300022.7294190607 4632429.736488544))",5,,99.62847042432243,19.925694084864485,0.017732821063284984
